mem,bandwidth(MB/ms)
65536,2.66
131072,6.04
196608,7.16
262144,7.76
327680,8.16
393216,8.42
458752,8.62
524288,8.81
589824,8.93
655360,9.07
720896,9.18
786432,9.23
851968,9.3
917504,9.33
983040,6.58
1048576,9.39
1114112,9.71
1179648,9.93
1245184,10.21
1310720,10.47
1376256,10.75
1441792,10.92
1507328,11.16
1572864,11.41
1638400,11.59
1703936,11.74
1769472,11.91
1835008,11.88
1900544,11.51
1966080,11.45
2031616,11.36
2097152,11.22
2162688,11.45
2228224,11.67
2293760,11.68
2359296,11.79
2424832,11.96
2490368,12.36
2555904,12.52
2621440,12.62
2686976,12.66
2752512,9.66
2818048,12.79
2883584,12.5
2949120,12.37
3014656,12.7
3080192,12.62
3145728,12.47
3211264,12.56
3276800,12.64
3342336,12.67
3407872,12.89
3473408,12.94
3538944,13.11
3604480,13.15
3670016,13.29
3735552,13.16
3801088,13.33
3866624,13.36
3932160,13.37
3997696,13.26
4063232,13.26
4128768,13.15
4194304,13.02
4259840,13.04
4325376,13.16
4390912,13.3
4456448,13.28
4521984,13.46
4587520,13.5
4653056,13.54
4718592,13.58
4784128,13.63
4849664,13.7
4915200,13.72
4980736,13.74
5046272,13.6
5111808,13.5
5177344,13.45
5242880,13.34
5308416,13.36
5373952,13.45
5439488,13.51
5505024,13.57
5570560,13.68
5636096,13.67
5701632,13.73
5767168,13.79
5832704,13.84
5898240,13.76
5963776,13.82
6029312,13.78
6094848,13.7
6160384,13.67
6225920,13.57
6291456,13.53
6356992,13.53
6422528,13.63
6488064,13.63
6553600,13.71
6619136,13.73
6684672,13.83
6750208,13.83
6815744,13.86
6881280,13.85
6946816,13.95
7012352,13.91
7077888,13.9
7143424,13.67
7208960,13.79
7274496,13.68
7340032,13.69
7405568,13.65
7471104,13.69
7536640,13.7
7602176,13.71
7667712,13.62
7733248,13.51
7798784,13.54
7864320,13.56
7929856,13.79
7995392,10.43
8060928,13.91
8126464,13.85
8192000,13.57
8257536,13.53
8323072,13.24
8388608,12.77
8454144,13.2
8519680,13.4
8585216,13.33
8650752,13.53
8716288,13.56
8781824,13.72
8847360,13.78
8912896,13.69
8978432,13.59
9043968,13.78
9109504,13.55
9175040,13.63
9240576,13.6
9306112,13.45
9371648,13.54
9437184,13.41
9502720,13.41
9568256,13.34
9633792,13.01
9699328,13.21
9764864,12.88
9830400,13.08
9895936,13.08
9961472,13.9
10027008,13.37
10092544,12.9
10158080,13.44
10223616,13.48
10289152,13.13
10354688,13.36
10420224,13.23
10485760,13.4
10551296,13.18
10616832,13.33
10682368,13.16
10747904,12.92
10813440,13.29
10878976,13.19
10944512,13.49
11010048,13.48
11075584,13.35
11141120,13.49
11206656,13.39
11272192,13.25
11337728,13.17
11403264,13.4
11468800,13.06
11534336,13.12
11599872,13.13
11665408,13.14
11730944,13.31
11796480,13.22
11862016,13.26
11927552,13.41
11993088,13.37
12058624,13.23
12124160,13.33
12189696,13.36
12255232,13.31
12320768,13.21
12386304,13.19
12451840,13.17
12517376,9.35
12582912,12.9
12648448,12.63
12713984,12.95
12779520,13.09
12845056,13.03
12910592,13.02
12976128,13.08
13041664,13.24
13107200,13.18
13172736,11.63
13238272,13.13
13303808,13.07
13369344,13.02
13434880,12.99
13500416,12.93
13565952,9.44
13631488,11.71
13697024,12.73
13762560,12.83
13828096,12.84
13893632,12.88
13959168,12.11
14024704,12.42
14090240,12.83
14155776,12.37
14221312,12.75
14286848,12.85
14352384,12.71
14417920,12.85
14483456,12.85
14548992,12.68
14614528,12.69
14680064,12.62
14745600,12.72
14811136,12.71
14876672,12.7
14942208,12.74
15007744,12.68
15073280,12.74
15138816,12.79
15204352,12.76
15269888,12.7
15335424,12.7
15400960,12.68
15466496,12.68
15532032,12.53
15597568,9.65
15663104,12.4
15728640,12.49
15794176,12.43
15859712,12.55
15925248,12.58
15990784,12.52
16056320,12.58
16121856,12.56
16187392,12.5
16252928,12.55
16318464,12.56
16384000,12.44
16449536,12.43
16515072,11.64
16580608,9.05
16646144,12.32
16711680,12.35
16777216,12.28
16842752,12.3
16908288,12.37
16973824,12.29
17039360,12.36
17104896,12.35
17170432,12.34
17235968,12.35
17301504,12.36
17367040,12.31
17432576,12.37
17498112,12.24
17563648,12.16
17629184,9.09
17694720,11.25
17760256,11.11
17825792,12.04
17891328,12.07
17956864,11.28
18022400,11.23
18087936,12.08
18153472,11.28
18219008,11.17
18284544,12.09
18350080,12.13
18415616,11.22
18481152,11.14
18546688,12.07
18612224,10.98
18677760,8.82
18743296,11.62
18808832,11.11
18874368,11.13
18939904,11.87
19005440,12.01
19070976,11.95
19136512,12.0
19202048,11.12
19267584,11.92
19333120,11.97
19398656,12.0
19464192,11.94
19529728,11.55
19595264,9.0
19660800,11.89
19726336,11.87
19791872,11.86
19857408,11.83
19922944,11.81
19988480,11.78
20054016,11.8
20119552,11.83
20185088,11.81
20250624,11.69
20316160,11.23
20381696,10.94
20447232,11.85
20512768,10.9
20578304,11.22
20643840,11.01
20709376,10.9
20774912,10.41
20840448,10.43
20905984,11.76
20971520,10.98
21037056,10.98
21102592,11.53
21168128,11.53
21233664,11.7
21299200,11.62
21364736,10.85
21430272,11.72
21495808,11.7
21561344,11.71
21626880,11.64
21692416,11.67
21757952,11.65
21823488,11.62
21889024,11.55
21954560,11.56
22020096,11.56
22085632,11.52
22151168,11.55
22216704,11.53
22282240,11.53
22347776,11.52
22413312,10.77
22478848,11.12
22544384,10.83
22609920,10.81
22675456,11.62
22740992,11.53
22806528,11.47
22872064,11.46
22937600,11.44
23003136,11.43
23068672,11.46
23134208,11.34
23199744,9.59
23265280,11.42
23330816,11.49
23396352,11.47
23461888,11.42
23527424,11.46
23592960,10.91
23658496,11.11
23724032,11.33
23789568,11.36
23855104,11.39
23920640,10.81
23986176,11.35
24051712,9.73
24117248,11.36
24182784,11.3
24248320,11.31
24313856,11.37
24379392,11.41
24444928,11.34
24510464,11.41
24576000,11.37
24641536,11.4
24707072,11.37
24772608,11.39
24838144,11.31
24903680,11.32
24969216,11.29
25034752,8.8
25100288,11.24
25165824,11.24
25231360,11.05
25296896,11.15
25362432,11.24
25427968,11.28
