mem,bandwidth(MB/ms)
65536,2.55
131072,5.98
196608,7.16
262144,7.76
327680,8.16
393216,8.4
458752,8.33
524288,8.72
589824,8.81
655360,9.0
720896,8.88
786432,9.22
851968,9.11
917504,9.23
983040,9.35
1048576,9.37
1114112,9.57
1179648,9.9
1245184,10.08
1310720,10.43
1376256,10.6
1441792,10.97
1507328,11.01
1572864,11.34
1638400,11.53
1703936,11.67
1769472,11.84
1835008,11.77
1900544,11.67
1966080,10.7
2031616,11.13
2097152,11.23
2162688,11.45
2228224,11.59
2293760,11.73
2359296,11.89
2424832,12.08
2490368,12.24
2555904,12.37
2621440,12.54
2686976,12.53
2752512,9.57
2818048,12.82
2883584,12.66
2949120,12.43
3014656,12.57
3080192,12.46
3145728,12.29
3211264,12.41
3276800,12.53
3342336,12.64
3407872,12.7
3473408,12.87
3538944,12.85
3604480,13.04
3670016,13.09
3735552,13.19
3801088,13.19
3866624,13.33
3932160,13.27
3997696,13.08
4063232,13.02
4128768,13.04
4194304,12.95
4259840,12.8
4325376,13.02
4390912,13.13
4456448,13.13
4521984,13.27
4587520,13.32
4653056,13.39
4718592,13.43
4784128,13.56
4849664,13.55
4915200,13.55
4980736,13.52
5046272,13.4
5111808,13.36
5177344,13.28
5242880,13.25
5308416,13.2
5373952,13.27
5439488,13.35
5505024,13.22
5570560,13.41
5636096,13.54
5701632,13.6
5767168,13.61
5832704,13.65
5898240,13.73
5963776,13.7
6029312,13.69
6094848,13.54
6160384,13.45
6225920,13.48
6291456,13.37
6356992,13.38
6422528,13.47
6488064,13.54
6553600,13.61
6619136,13.57
6684672,13.67
6750208,13.68
6815744,13.72
6881280,13.78
6946816,13.79
7012352,13.69
7077888,13.69
7143424,13.67
7208960,13.57
7274496,13.51
7340032,13.47
7405568,13.51
7471104,13.47
7536640,13.5
7602176,13.39
7667712,13.69
7733248,13.66
7798784,13.64
7864320,13.74
7929856,13.77
7995392,13.77
8060928,10.33
8126464,13.76
8192000,13.61
8257536,13.59
8323072,13.31
8388608,13.41
8454144,13.41
8519680,13.39
8585216,13.46
8650752,13.51
8716288,13.59
8781824,13.42
8847360,13.51
8912896,13.45
8978432,13.63
9043968,13.67
9109504,13.75
9175040,13.51
9240576,13.37
9306112,13.45
9371648,13.42
9437184,13.35
9502720,13.4
9568256,13.5
9633792,13.22
9699328,11.72
9764864,13.28
9830400,13.29
9895936,13.41
9961472,13.46
10027008,13.54
10092544,13.39
10158080,13.47
10223616,13.51
10289152,13.26
10354688,13.32
10420224,13.31
10485760,13.28
10551296,13.17
10616832,13.23
10682368,13.28
10747904,13.29
10813440,13.26
10878976,13.25
10944512,8.58
11010048,13.08
11075584,13.36
11141120,13.33
11206656,13.34
11272192,13.34
11337728,13.14
11403264,13.21
11468800,13.03
11534336,13.07
11599872,13.03
11665408,13.04
11730944,13.14
11796480,13.02
11862016,13.2
11927552,13.06
11993088,13.18
12058624,13.22
12124160,13.15
12189696,13.24
12255232,13.09
12320768,13.14
12386304,13.01
12451840,12.95
12517376,12.9
12582912,12.86
12648448,12.93
12713984,12.99
12779520,12.98
12845056,12.99
12910592,12.98
12976128,13.02
13041664,12.91
13107200,11.5
13172736,12.99
13238272,11.02
13303808,12.96
13369344,12.88
13434880,12.91
13500416,12.91
13565952,12.84
13631488,12.8
13697024,12.73
13762560,12.69
13828096,12.89
13893632,12.8
13959168,12.79
14024704,12.83
14090240,12.87
14155776,12.75
14221312,12.65
14286848,9.15
14352384,12.78
14417920,12.83
14483456,12.7
14548992,12.68
14614528,12.58
14680064,12.55
14745600,12.58
14811136,12.56
14876672,12.54
14942208,12.58
15007744,12.58
15073280,12.6
15138816,12.62
15204352,12.56
15269888,12.59
15335424,12.63
15400960,12.58
15466496,12.49
15532032,12.52
15597568,12.5
15663104,12.45
15728640,12.36
15794176,12.36
15859712,12.4
15925248,12.41
15990784,12.44
16056320,12.39
16121856,12.37
16187392,12.41
16252928,12.44
16318464,12.36
16384000,11.69
16449536,11.48
16515072,11.34
16580608,11.15
16646144,10.88
16711680,11.89
16777216,11.51
16842752,10.85
16908288,11.22
16973824,11.19
17039360,11.4
17104896,12.11
17170432,12.21
17235968,9.74
17301504,12.16
17367040,12.21
17432576,12.13
17498112,12.15
17563648,12.16
17629184,12.07
17694720,12.03
17760256,12.04
17825792,11.93
17891328,11.96
17956864,11.97
18022400,11.97
18087936,11.98
18153472,11.98
18219008,12.03
18284544,12.01
18350080,11.99
18415616,12.0
18481152,11.97
18546688,11.95
18612224,11.97
18677760,11.88
18743296,11.85
18808832,9.24
18874368,11.81
18939904,11.81
19005440,11.85
19070976,11.86
19136512,11.85
19202048,11.86
19267584,11.9
19333120,11.86
19398656,11.86
19464192,11.84
19529728,11.82
19595264,11.81
19660800,11.77
19726336,11.78
19791872,11.77
19857408,11.73
19922944,11.7
19988480,11.6
20054016,11.66
20119552,11.74
20185088,11.73
20250624,11.73
20316160,11.7
20381696,11.75
20447232,11.75
20512768,11.74
20578304,11.71
20643840,11.69
20709376,11.66
20774912,11.65
20840448,11.62
20905984,11.59
20971520,11.57
21037056,11.6
21102592,11.6
21168128,11.45
21233664,11.06
21299200,11.55
21364736,11.67
21430272,11.6
21495808,11.62
21561344,11.6
21626880,11.58
21692416,11.55
21757952,11.57
21823488,11.52
21889024,11.44
21954560,11.46
22020096,11.42
22085632,9.72
22151168,11.47
22216704,11.47
22282240,11.47
22347776,11.51
22413312,11.5
22478848,11.5
22544384,11.49
22609920,11.5
22675456,11.49
22740992,11.43
22806528,11.44
22872064,11.42
22937600,11.41
23003136,9.32
23068672,11.3
23134208,11.3
23199744,11.4
23265280,11.39
23330816,11.4
