bs,seql,t(ms)
2,16,23.68
2,32,24.878
2,48,27.704
2,64,31.218
2,80,32.573
2,96,35.558
2,112,37.884
2,128,37.134
2,144,48.496
2,160,49.309
2,176,49.767
2,192,50.725
2,208,65.015
2,224,66.449
2,240,67.038
2,256,70.79
4,16,24.983
4,32,31.221
4,48,35.462
4,64,37.282
4,80,48.591
4,96,50.534
4,112,67.052
4,128,69.767
4,144,81.033
4,160,82.406
4,176,97.528
4,192,98.987
4,208,109.425
4,224,112.018
4,240,126.29
4,256,135.97
6,16,28.156
6,32,35.774
6,48,48.533
6,64,51.322
6,80,67.794
6,96,80.65
6,112,97.045
6,128,99.681
6,144,110.239
6,160,127.212
6,176,141.673
6,192,145.02
6,208,157.654
6,224,177.58
6,240,188.523
6,256,192.421
8,16,31.695
8,32,37.558
8,48,51.025
8,64,70.458
8,80,82.07
8,96,99.921
8,112,110.821
8,128,136.393
8,144,144.864
8,160,158.526
8,176,187.155
8,192,191.559
8,208,215.908
8,224,227.411
8,240,242.115
8,256,252.929
10,16,32.836
10,32,49.304
10,48,67.956
10,64,81.973
10,80,108.159
10,96,126.194
10,112,144.0
10,128,157.828
10,144,189.299
10,160,211.638
10,176,225.772
10,192,240.96
10,208,278.456
10,224,287.765
10,240,305.176
10,256,324.056
12,16,36.071
12,32,51.234
12,48,80.115
12,64,99.155
12,80,126.975
12,96,144.878
12,112,177.457
12,128,192.025
12,144,225.568
12,160,241.468
12,176,278.463
12,192,290.199
12,208,319.656
12,224,332.859
12,240,366.891
12,256,380.739
14,16,38.799
14,32,67.215
14,48,96.51
14,64,111.056
14,80,144.323
14,96,177.738
14,112,209.093
14,128,226.779
14,144,248.639
14,160,286.782
14,176,321.165
14,192,333.786
14,208,367.928
14,224,396.292
14,240,420.054
14,256,448.572
16,16,38.061
16,32,70.686
16,48,99.444
16,64,135.826
16,80,158.983
16,96,192.588
16,112,226.844
16,128,251.488
16,144,290.504
16,160,325.511
16,176,356.003
16,192,381.27
16,208,410.385
16,224,449.825
16,240,474.331
16,256,497.717
18,16,49.05
18,32,81.312
18,48,111.172
18,64,144.52
18,80,187.441
18,96,224.298
18,112,248.322
18,128,288.649
18,144,332.406
18,160,365.852
18,176,398.591
18,192,419.362
18,208,472.858
18,224,494.707
18,240,536.281
18,256,563.147
20,16,49.927
20,32,82.455
20,48,127.874
20,64,158.497
20,80,210.926
20,96,241.58
20,112,287.293
20,128,324.585
20,144,366.487
20,160,399.027
20,176,448.609
20,192,472.796
20,208,530.448
20,224,555.509
20,240,605.838
20,256,632.496
22,16,51.135
22,32,98.436
22,48,141.798
22,64,187.466
22,80,226.051
22,96,278.146
22,112,320.107
22,128,355.541
22,144,397.632
22,160,448.648
22,176,489.744
22,192,534.888
22,208,565.49
22,224,619.425
22,240,657.655
22,256,701.154
24,16,51.627
24,32,99.865
24,48,146.027
24,64,190.75
24,80,241.395
24,96,289.691
24,112,332.904
24,128,379.005
24,144,421.433
24,160,473.899
24,176,530.027
24,192,565.592
24,208,621.303
24,224,663.21
24,240,714.455
24,256,750.448
26,16,66.211
26,32,110.312
26,48,158.476
26,64,215.982
26,80,277.317
26,96,318.065
26,112,366.658
26,128,407.055
26,144,473.34
26,160,529.588
26,176,563.908
26,192,620.078
26,208,669.23
26,224,727.216
26,240,786.507
26,256,816.022
28,16,69.063
28,32,113.745
28,48,179.022
28,64,227.412
28,80,287.657
28,96,333.567
28,112,397.884
28,128,448.019
28,144,495.378
28,160,556.0
28,176,617.927
28,192,662.588
28,208,727.959
28,224,797.725
28,240,834.524
28,256,902.468
30,16,69.351
30,32,128.25
30,48,189.801
30,64,241.309
30,80,306.45
30,96,368.243
30,112,416.832
30,128,472.749
30,144,539.747
30,160,608.526
30,176,659.206
30,192,714.381
30,208,787.096
30,224,841.25
30,240,909.718
30,256,971.013
32,16,71.991
32,32,138.257
32,48,193.515
32,64,252.104
32,80,325.498
32,96,381.088
32,112,448.92
32,128,495.215
32,144,566.474
32,160,635.027
32,176,701.742
32,192,754.079
32,208,821.446
32,224,902.679
32,240,972.434
32,256,1021.721
