bs,seql,t(ms)
2,16,13.998
2,32,14.08
2,48,14.087
2,64,14.242
2,80,14.274
2,96,14.354
2,112,14.303
2,128,14.526
2,144,14.529
2,160,14.554
2,176,14.612
2,192,14.811
2,208,14.758
2,224,14.857
2,240,14.821
2,256,14.993
2,272,15.022
2,288,15.063
2,304,15.001
2,320,15.292
2,336,15.235
2,352,15.278
2,368,15.286
2,384,15.496
4,16,14.13
4,32,14.178
4,48,14.176
4,64,14.386
4,80,14.392
4,96,14.458
4,112,14.445
4,128,14.652
4,144,14.68
4,160,14.73
4,176,14.714
4,192,14.916
4,208,14.886
4,224,14.96
4,240,14.961
4,256,15.189
4,272,15.232
4,288,15.146
4,304,15.237
4,320,15.425
4,336,15.432
4,352,15.453
4,368,15.416
4,384,15.672
6,16,14.236
6,32,14.308
6,48,14.308
6,64,14.46
6,80,14.506
6,96,14.526
6,112,14.537
6,128,14.739
6,144,14.845
6,160,14.746
6,176,14.842
6,192,14.972
6,208,15.035
6,224,15.023
6,240,15.075
6,256,15.263
6,272,15.337
6,288,15.297
6,304,15.333
6,320,15.516
6,336,15.52
6,352,15.465
6,368,15.522
6,384,15.688
8,16,14.318
8,32,14.336
8,48,14.43
8,64,14.653
8,80,14.699
8,96,14.72
8,112,14.713
8,128,14.952
8,144,14.923
8,160,15.043
8,176,15.01
8,192,15.247
8,208,15.293
8,224,15.224
8,240,15.324
8,256,15.518
8,272,15.502
8,288,15.487
8,304,15.554
8,320,15.753
8,336,15.777
8,352,15.795
8,368,15.844
8,384,16.082
10,16,14.441
10,32,14.484
10,48,14.482
10,64,14.692
10,80,14.765
10,96,14.75
10,112,14.758
10,128,15.017
10,144,15.018
10,160,15.062
10,176,15.053
10,192,15.306
10,208,15.346
10,224,15.36
10,240,15.372
10,256,15.533
10,272,15.556
10,288,15.562
10,304,15.629
10,320,15.832
10,336,15.886
10,352,15.939
10,368,15.884
10,384,16.134
12,16,14.507
12,32,14.494
12,48,14.53
12,64,14.75
12,80,14.82
12,96,14.87
12,112,14.889
12,128,15.077
12,144,15.146
12,160,15.126
12,176,15.44
12,192,15.415
12,208,15.406
12,224,15.446
12,240,15.477
12,256,15.712
12,272,15.713
12,288,15.742
12,304,15.806
12,320,15.945
12,336,15.983
12,352,16.036
12,368,16.042
12,384,16.324
14,16,14.52
14,32,14.552
14,48,14.685
14,64,14.894
14,80,14.931
14,96,14.961
14,112,14.893
14,128,15.149
14,144,15.18
14,160,15.213
14,176,15.252
14,192,15.54
14,208,15.524
14,224,15.543
14,240,15.559
14,256,15.756
14,272,15.779
14,288,15.901
14,304,15.868
14,320,16.107
14,336,16.135
14,352,16.176
14,368,16.168
14,384,16.423
16,16,14.591
16,32,14.682
16,48,14.723
16,64,14.946
16,80,14.947
16,96,14.985
16,112,15.058
16,128,15.233
16,144,15.239
16,160,15.312
16,176,15.281
