bs,seql,t(ms)
2,16,23.156
2,32,23.263
2,48,23.265
2,64,23.457
2,80,23.392
2,96,23.481
2,112,23.482
2,128,23.586
2,144,23.454
2,160,23.593
2,176,23.498
2,192,23.629
2,208,23.617
2,224,23.648
2,240,23.634
2,256,23.776
2,272,23.651
2,288,23.774
2,304,23.705
2,320,23.902
2,336,23.769
2,352,23.913
2,368,23.84
2,384,23.979
4,16,23.359
4,32,23.478
4,48,23.511
4,64,23.607
4,80,23.566
4,96,23.633
4,112,23.607
4,128,23.724
4,144,23.705
4,160,23.841
4,176,23.754
4,192,23.917
4,208,24.032
4,224,23.914
4,240,24.054
4,256,24.057
4,272,24.086
4,288,24.118
4,304,24.195
4,320,24.152
4,336,24.214
4,352,24.146
4,368,24.247
4,384,24.283
6,16,23.692
6,32,23.632
6,48,23.669
6,64,23.771
6,80,23.84
6,96,23.824
6,112,23.857
6,128,23.993
6,144,23.998
6,160,24.151
6,176,24.113
6,192,24.222
6,208,24.154
6,224,24.334
6,240,24.364
6,256,24.487
6,272,24.528
6,288,24.485
6,304,24.628
6,320,24.622
6,336,24.645
6,352,24.78
6,368,24.728
6,384,24.91
8,16,24.406
8,32,24.453
8,48,24.513
8,64,24.578
8,80,24.674
8,96,24.696
8,112,24.846
8,128,24.866
8,144,24.946
8,160,24.997
8,176,25.093
8,192,25.119
8,208,25.214
8,224,25.269
8,240,25.378
8,256,25.352
8,272,25.566
8,288,25.553
8,304,25.71
8,320,25.722
8,336,25.873
8,352,25.84
8,368,25.99
8,384,26.026
10,16,24.625
10,32,24.574
10,48,24.662
10,64,24.766
10,80,24.964
10,96,24.96
10,112,25.108
10,128,25.187
10,144,25.329
10,160,25.353
10,176,25.518
10,192,25.587
10,208,25.652
10,224,25.823
10,240,25.766
10,256,26.023
10,272,25.948
10,288,26.11
10,304,26.129
10,320,26.319
10,336,26.344
10,352,26.429
10,368,26.525
10,384,26.623
12,16,24.84
12,32,24.816
12,48,25.008
12,64,25.169
12,80,25.261
12,96,25.28
12,112,25.479
12,128,25.555
12,144,25.773
12,160,25.774
12,176,25.961
12,192,26.109
12,208,26.226
12,224,26.191
12,240,26.438
12,256,26.603
12,272,26.688
12,288,26.716
12,304,26.973
12,320,27.082
12,336,27.205
12,352,27.195
12,368,27.305
12,384,27.554
14,16,24.925
14,32,24.952
14,48,25.087
14,64,25.236
14,80,25.322
14,96,25.566
14,112,25.72
14,128,25.874
14,144,25.917
14,160,25.945
14,176,26.231
14,192,26.3
14,208,26.5
14,224,26.566
14,240,26.728
14,256,26.875
14,272,26.979
14,288,27.056
14,304,27.222
14,320,27.297
14,336,27.529
14,352,27.62
14,368,27.7
14,384,27.92
16,16,24.982
16,32,25.165
16,48,25.248
16,64,25.444
16,80,25.551
16,96,25.756
16,112,25.77
16,128,26.049
16,144,26.21
16,160,26.27
16,176,26.405
16,192,26.681
16,208,26.737
16,224,26.918
16,240,27.008
16,256,27.243
16,272,27.316
16,288,27.479
16,304,27.6
16,320,27.866
16,336,27.911
16,352,28.121
16,368,28.143
16,384,28.438
