bs,seql,t(ms)
2,16,24.517
2,32,26.004
2,48,28.605
2,64,29.369
2,80,34.88
2,96,36.337
2,112,40.822
2,128,39.883
2,144,56.371
2,160,57.426
2,176,58.229
2,192,58.711
2,208,72.07
2,224,73.281
2,240,74.479
2,256,75.187
2,272,87.07
2,288,88.325
2,304,88.824
2,320,89.994
2,336,108.62
2,352,111.616
2,368,112.456
2,384,111.802
4,16,26.119
4,32,29.482
4,48,36.088
4,64,40.296
4,80,56.767
4,96,58.749
4,112,73.205
4,128,74.452
4,144,87.374
4,160,89.401
4,176,110.222
4,192,113.069
4,208,125.233
4,224,132.939
4,240,137.675
4,256,145.983
4,272,159.215
4,288,162.239
4,304,176.702
4,320,178.521
4,336,204.13
4,352,205.311
4,368,208.44
4,384,212.179
6,16,29.205
6,32,36.482
6,48,55.911
6,64,59.669
6,80,74.109
6,96,87.634
6,112,108.138
6,128,113.339
6,144,130.945
6,160,139.576
6,176,157.207
6,192,163.341
6,208,175.366
6,224,200.095
6,240,206.456
6,256,211.753
6,272,236.973
6,288,248.15
6,304,264.65
6,320,270.009
6,336,272.258
6,352,304.151
6,368,316.346
6,384,321.321
8,16,30.068
8,32,40.771
8,48,58.781
8,64,76.034
8,80,89.773
8,96,111.851
8,112,132.193
8,128,145.505
8,144,162.545
8,160,177.437
8,176,203.977
8,192,210.063
8,208,235.265
8,224,250.071
8,240,267.418
8,256,277.131
8,272,308.239
8,288,318.097
8,304,344.797
8,320,355.775
8,336,367.701
8,352,398.378
8,368,420.284
8,384,421.839
10,16,35.122
10,32,56.982
10,48,72.822
10,64,87.448
10,80,123.268
10,96,139.66
10,112,161.355
10,128,176.698
10,144,208.625
10,160,229.308
10,176,250.382
10,192,265.539
10,208,301.79
10,224,316.878
10,240,338.883
10,256,354.796
10,272,397.218
10,288,410.975
10,304,423.118
10,320,445.062
10,336,469.618
10,352,501.697
10,368,527.158
10,384,544.463
12,16,37.074
12,32,59.711
12,48,86.973
12,64,112.449
12,80,137.596
12,96,161.715
12,112,203.218
12,128,211.164
12,144,249.64
12,160,269.068
12,176,304.426
12,192,319.876
12,208,349.558
12,224,367.967
12,240,412.179
12,256,420.278
12,272,457.546
12,288,479.918
12,304,526.221
12,320,536.81
12,336,567.029
12,352,605.311
12,368,631.321
12,384,641.832
14,16,41.729
14,32,73.436
14,48,108.353
14,64,130.786
14,80,161.25
14,96,203.417
14,112,229.327
14,128,250.123
14,144,270.287
14,160,315.562
14,176,351.537
14,192,366.154
14,208,415.806
14,224,441.268
14,240,468.16
14,256,505.179
14,272,537.446
14,288,560.674
14,304,614.538
14,320,634.342
14,336,659.348
14,352,706.363
14,368,734.151
14,384,746.902
16,16,41.099
16,32,75.145
16,48,113.281
16,64,145.462
16,80,175.37
16,96,213.698
16,112,250.991
16,128,278.028
16,144,319.185
16,160,355.747
16,176,397.27
16,192,422.033
16,208,460.901
16,224,504.927
16,240,534.894
16,256,567.561
16,272,616.921
16,288,638.047
16,304,694.435
16,320,713.025
16,336,748.18
16,352,801.785
16,368,816.811
16,384,852.079
